53829	29899	5733	2833	2826	6751	8924	2773	5473	1902	3627	50834	11251	10563	6357	2847	9934	55970	53637	2920	79876	10850	50831	10803	2792	1234	8698	109	2841	5697	7336	2358	10681	8811	3576	115	2784	4543	114	6346	2916	50832	51289	5443	6370	729230	3355	643	6372	2788	4544	51083	4852	3577	10022	6750	10316	23566	6366	2913	152	6754	2783	6387	2791	6373	1230	57007	1132	6752	4986	4886	50839	2921	1815	6755	2771	3350	5173	2853	1233	150	719	4889	10324	4988	2787	6376	26234	9040	9903	7328	9354	10422	55658	64320	26046	4734	9039	114088	10273	51444	79176	27252	63891	4008	10533	285231	8651	55336	6049	23014	7327	55585	22954	140461	997	6478	144699	9021	55236	183	5434	25897	140460	54850	868	5439	26118	80176	10193	64219	55521	7322	64750	51320	23608	5071	8065	7323	79654	127544	29116	79754	80028	7326	23295	53339	899	1665	3093	23524	27338	6426	51725	6431	64718	57819	8896	79869	9604	6629	80204	51340	6477	9978	10291	25793	10978	80196	27316	51666	6631	55175	51690	9410	9690	25898	1479	9666	7318	89910	3192	6625	10477	6632	11325	23376	6636	8925	10616	9246	2521	7317	9092	1994	10250	7337	1478	10425	10084	8916	7320	11100	23283	6737	9416	9730	64410	5093	7704	27258	22888	1477	25847	8175	11017	55008	6637	55958	3187	1660	10285	23327	3185	51665	11193	23020	9320	6627	26268	4809	9616	81608	11157	5725	9775	55819	51362	9295	9820	5094	55284	51729	63893	10949	26249	10286	7319	10465	26091	10713	51619	10421	8452	6628	22916	10914	4591	3181	26235	6634	84991	10489	56259	6430	65264	25804	11275	55660	24148	1993	54778	220988	2963	26272	150726	3178	9867	55905	8449	11146	55182	10898	26121	5930	6429	57794	26263	6635	10293	6633	57154	140459	6638	9870	8189	9785	140462	23451	26232	51191	11051	84861	9128	6047	3184	23291	3190	55294	51585	9817	11338	10921	3188	3191	9879	55339	23658	3312	6432	8945	10992	10907	22826	6233	10236	55696	23450	5179	5546	10181	285755	10262	10594	6428	4686	9129	10523	4904	1129	6626	10946	351	51691	4670	1655	22827	83443	7311	2962	27238	55070	7314	6500	8453	7321	23194	10075	3827	996	718	7324	11065	7316	10393	8454	22938	51433	56949	5431	64682	5440	29882	9716	5435	6502	8697	5438	6923	2912	7428	301	2785	991	1325	1268	186	51465	2359	2770	108	5660	6921	988	5196	3354	10663	4985	4887	1880	50840	51343	2790	1236	8881	6364	3361	7852	2861	1814	2357	5433	4283	5441	113	4987	10874	2587	50836	50833	11059	50865	9170	112	5539	5030	9283	1237	9568	1813	2917	50835	1269	1901	3351	2840	27339	50838	2786	727	2919	10450	3579	2918	5368	5436	107	5432	6363	51764	8484	2832	187	846	1524	6374	11255	2852	5367	59340	23352	2914	23304	2550	728	346562	623	7334	134	1232	50837
5976	185	25949	23049	2776	23517	65109	5296	23381	1906	55181	55110	9887	65110	26019	4116	2147	26986	23708	2922	6128	1909	6205	9630	6123	6193	6915	6209	1908	6167	6159	5031	6223	886	8503	6187	6154	2798	5029	8997	6204	2911	6231	5331	3062	23620	6143	2767	9045	552	6176	148	2828	2693	6224	7201	6141	4922	551	23521	6217	3060	2151	5290	116832	6865	6232	6202	1241	6133	3357	6136	5020	6869	6173	2869	6175	3814	6227	2796	6146	1907	5737	4829	553	6138	64106	2862	6125	2829	140801	6208	7204	6230	156	4736	3356	6201	6161	2865	6124	1133	57105	51121	2915	6228	23236	6152	2867	6165	6166	1131	2150	6866	5028	6168	5021	146	2797	6130	5724	6203	6155	6134	2149	6169	6122	2769	25873	6870	6207	10800	6129	51065	887	6170	680	6194	6863	6210	2520	6132	3269	11224	4923	27334	6375	6229	4935	6156	9002	10161	6147	8111	1910	2197	4295	6157	5518	4828	6235	8477	3358	3921	7200	147	5520	5731	3061	2925	23398	885	6160	5515	5330	6144	29933	10911	6135	6189	6164	2107	6188	6234	6218	6137	6191	6181	6222	2641	23293	2863	6206	2642	6434	56006	1981	22794	2935	24144	6936																																																																																																																																																																																																																																																																															
6726	9829	950	10094	10093	11252	55707	2017	10618	1212	5501	6844	3267	5529	1759	10109	408	29988	6734	2335	26130	7466	409	6727	4052	6457	9892	3912	6746	3569	10097	10970	6455	3486	9856	3053	10096	4221	1950	335	8674	11130	1758	22905	51156	29763	8074	3092	462	3490	915	23471	7857	8322	5885	3484	220134	22848	348	29924	3488	161	10952	3698	1785	64856	9341	3915	9700	5265	9146	9793	3895	1211	11167	10552	56955	4241	6453	332	2200	8673	7425	4952	10726	29106	6857	25936	1471	5954	55746	1173	4240	57082	5868	1356	7474	10130	6845	8542	3949	1058	9210	554	2243	5286	1060	2266	8301	3913	197	7018	699	3956	2060	7076	1175	55176	3491	7037	1462	1956	9183	5611	23149	9669	57104	3482	51386	9735	1435	1974	8379	334	25977	6184	5768	102	85021	51081	8404	891	8720	2580	2153	23208	1938	5624	1000	154	23063	867	11320	4036	81565	4148	9322	6696	55166	274	375056	1856	336	27335	652	6572	213	1983	1650	3487	23048	3270	1080	6249	5878	6694	8027	57405	3646	258	9185	8614	1601	54587	3575	8669	55055	1114	2621	10092	79023	1975	265	10254	79019	8661	55143	174	8668	348995	3371	273	80776	10272	8867	5034	57551	5347	7184	10480	54972	920	8667	79172	58513	50618	23332	9184	127833	6748	3619	917	79682	10403	5903	5869	8243	6745	8976	54874	5048	4085	9026	9133	338	23421	8871	1964	54821	79003	6456	25909	26119	4074	7458	23244	8662	5339	8665	57122	813	79902	3796	1965	23122	7514	8655	23047	1968	8894	9212	23279	22919	10274	11004	9126	8664	10735	1063	5526	55839	6185	6729	54908	1778	5905	2491	5527	701	81930	10232	2719	1783	6383	9340	9038	3640	2695	23480	6396	2854	2838	3972	8666	7253	5528	5519	1062	797	4161	10399	2696	11245	155	10267	7434	1780	6343	3274	29927	5746	5734	2488	4159	1394	4158	51143	2778	2843	10268	79924	3362	1781	7432	3360	5729	1081	5739	799	7433	1816	983	133	2848	796	1915	10266	5745	116	1977	3375	1392	5525	3973	4157	6019	2740	136	2492	1395	6747	4160	1973	51319	11250	5744	5741	7252	10203	5516	2692	153	58477	3363	9287	117	2691	6731	5732	6344																																																																																																						
5693	56929	10199	55313	2588	383	11001	2171	963	54555	1511	10576	5708	9798	9725	6036	64386	11340	1084	6037	5906	10043	22897	55813	10857	9277	23197	55754	6278	5700	23601	6317	54918	5023	5685	2517	64114	11240	5688	3074	5696	10383	8560	1454	411	1536	10487	8694	10577	10213	566	10396	6386	5912	51316	51382	2990	932	1727	4125	5713	5686	9761	51816	10694	10493	5719	1088	11116	7276	10555	5699	7226	79895	47	5718	8514	5657	5721	101	5787	2512	5709	948	203068	5714	5834	945	2760	4332	5715	1535	6518	2720	11322	80142	5702	5694	3163	29108	2204	3614	302	9588	6059	3903	2717	5716	10799	9491	6793	5580	5707	25801	8635	158747	5690	2040	10197	5036	23526	175	138050	5684	410	634	4353	2896	4973	3684	6515	5711	10142	28998	11102	5683	10556	2799	3689	5566	50813	1143	5795	5706	5329	4738	7415	10116	683	23198	3685	5695	29978	5577	8780	54951	5682	9861	5328	80321	3683	4867	54801	5704	22994	55720	5689	22832	5687	55755	8533	961	22995	9657	51134	79598	28956	11064	5116	5692	7277	5710	55835	28952	8649	146057	6183	5720	55142	5717	23354	55125	5701	9814	10412	54806	8636	5705	5698	79867	6616	79441	261734	5108	10920	9738	1075	10557	54165	7283	9655	1453	10540	26123	79050	23142	55722	51096	4218	57787	26005	22981	9136	11190	8481	11258	23160	11103	23016	64963	7846	9790	22984	705	80254	8602	27340	27077	55860	79959	998	6790	9702	54903	5476	8766	8900	9662	27341	27042	2665	57050	5337	79600	10382	65003	95681	10733	54930	55127	890	5393	2091	51397	1933	51013	25906	966	9318	27043	10528	10121	7133	8773	26168	81887	25926	10885	92856	54512	25879	51187	54881	990	55884	57418	80184	55173	56902	10200	9232	55781	4751	55208	10607	54939	51202	671	51077	23404	10438	8835	8836	51138	4069	79707	1069	10171	5394	1991	9306	10980	23412	56729	56915	56995	3320	10813	5594	65083	7531	64708	10987	54472	1154	7979	5822	51118																																																																																																																																																
3980	65095	64794	55661	7040	88	2932	527	1662	23029	10288	5269	324	11314	29088	3687	10159	6556	2207	23218	57826	2548	81	1191	87	64975	8972	8178	7124	25896	3091	2960	78988	79664	740	23248	51116	2957	2735	6621	22974	64960	55197	65080	23379	8994	54148	51021	7057	26173	5970	10573	6884	8600	54998	904	7702	79035	8812	26589	3082	54973	55052	80789	7284	6878	905	8792	85476	5452	22915	55756	51571	10302	51069	57117	6829	54863	22936	5018	710	595	139322	64859	329	51650	993	60488	78991	55168	6877	51368	2959	64981	8883	55656	6882	2961	28977	5340	2958	140885	54948	26512	1017	5451	2736	6712	8451	51575	81556	65993	6827	90480	5983	55726	3273	11222	65123	1025	2072	29789	10240	6619	1026	1639	6618	4331	11316	51097	22818	6617	3671	11127	55037	6917	11015	5345	26286	4528	3835	2277	84364	54583	374354	2071	4791	55083	29922	10884	22820	3150	330	27229	6710	7422	6118	10102	23095	2	4926	10749	5981	372	1161	4055	51318	27175	55299	10959	8740	83743	3832	63875	4839	5984	51073	4998	55153	51053	10671	79954	9276	10426	51023	8886	3799	1857	6711	1163	51068	11137	2967	288	1675	51330	10945	4050	79590	5155	10282	55226	5054	9493	23481	9570	64976	26271	80135	9553	9904	64689	6709	10844	1604	7515	378	11070	286	112399	54732	54676	5985	1027	57062	5424	117246	9585	3978	54475	54606	6182	898	2804	54107	55131	23423	64318	3798	65005	23223	547	23107	51552	2157	51164	51642	5627	1736	1452	23046	122704	64837	3396	5552	54516	91949	377	2965	26354	10466	375	51512	5982	23560	2801	24137	7423	4893	3833	10916	51388	22796	2348	28957	79039	51332	6117	29074	5111	9933	829	29093	55651	7187	830	63931	5427	25839	2244	5861	10969	2737	28973	5425	26155	1022	10112	26156	57804	4793	1315	7818	2034	902	10652	56945	2068	1314	26284	22920	7507	55759	54552	3797	55272	3161	23212	4792	832	1642	84549	9801	3630	7874	8729	57731	4049	29127	9371	27292	10972	2968	64344	81876	5426	11014	6119	959	3834	7042	55614	84516	56992	7450	9134	3831	287	55738	51014	10490	6678	23303	381	10714	10153	51272	25983	8312	8450	2162	1499	55003	2033	7043	64425	2073	3479	54663	221830	2067	6908	84172	9527	6667	7186	29889	5004	4790	1855																																																																																												
10524	5080	85236	5916	9768	10001	51514	8341	3014	3017	8340	59349	11021	9367	9656	189	9282	5087	4361	8775	10664	6256	8970	8349	22976	7528	1050	8528	1051	10615	55850	23097	54797	9545	23389	6837	1962	51594	55090	6342	2167	9477	60561	11047	80306	8774	51586	23054	9055	5469	51203	51755	53407	8648	892	64151	23378	10499	4905	7517	7486	55825	9370	5931	9967	641	2146	149111	1121	83696	10484	2890	1294	9632	55014	51377	27095	51128	10342	5929	51693	23256	10427	80010	90411	5914	9070	10175	10802	1959	545	5468	22872	5867	51399	9612	5316	81562	7109	3211	94239	9919	1122	8202	5872	55766	5928	6399	9156	3998	8334	7039	23512	9611	26984	9871	79748	5915	3213	11196	5828	8331	8726	1610	10960	8443	83452	79090	23600	51268	3015	5195	570	3416	373156	55165	83752	5888	1384	26063	8318	54677	54363	1024	7272	4358	580	6241	51	4211	9097	9833	11339	5192	1033	5193	7156	2053	51003	8309	196743	283927	51179	83990	1891	675	64284	9787	5194	8310	9609	10005	142684	259266	55355	5870	8085	5865	10891	7403	9363	5932	7153	8934	9968	5890	376267	9440	10514	662	29079	10981	9969	57403	9442	847	79728	5864	112950	5862	9443	23682	57799	5875	53916	5874	10966	9439	55647	51560	27314	81857	10025	3295	1763	51715	9862	5876	9230	51762	9412	57111	25837	4843	3155	7516	3198	4683	5889																																																																																																																																																																																																																																																			
30	10212	369	1509	1265	7529	9631	5728	1794	8993	23636	5908	673	57187	7175	23225	6830	9688	3674	29107	7469	79228	79577	81847	3845	4140	5894	8087	80351	9061	3119	54845	54518	8480	3117	4927	27044	7879	80145	8805	3265	3123	6924	11044	10762	56829	22866	54623	3108	1185	10482	9646	51224	3122	9444	25920	53371	3109	8650	1445	3115	9972	3111	9150	9984	8086	4298	864	7936	3113	5604	4300	3120	80349	5605	3112	27125	80853	6714	55840	3240	8546	23168	7414	11198	22906	3837	5199	200734	23164	4317	25852	5062	3934	6469	1669	567	7157	5873	26	10120	7094	1774	25797	55750	8566	10562	5595	10855	4000	10321	10018	4763	84271	10394	6749	3608	114876	56954	5777	124583	4758	6947	7077	51213	1118	4057	26097	10256	1522	8826	3728	8563	55109	11097	1116	55706	8021	5806	8658	23511	728642	6590	23165	23071	5037																																																																																																																																																																																																																																																																																																																																						
4697	7385	6875	55320	164	9377	7158	51588	7386	8467	7468	9031	472	7384	8290	1537	7341	6272	4288	51773	7014	6847	27089	79016	23353	10975	26277	10734	1894	10388	7388	54069	80781	25913	23397	80344	1285	83461	29796	23345	4684	54386	8905	9533	56158	1174	7412	6879	26586	286451	6874	7013	79269	10053	65057	8468	4869	1308	23224	51501	162	9188	5479	64175	9685	25777	6015	8607	1107	5371	1643	259217	10491	8535	8850	6591	54876	6672	2648	3310	6873	79184	7329	6045	6883	84733	54815	23028	11074	4261	10346	7164	2122	10107	9698	10014	672	22824	23466	7101	54885	1290	871	80263	1302	51182	9112	7163	6643	3383	1280	3065	55214	1289	85363	2209	1301	50509	53615	9557	27131	1108	3394	5978	9219	55827	1362	2633	6872	80012	51616	6782	23650	1912	4281	3066	51103	23431	6615	29078	79133	57332	80128	4709	26094	4723	1822	55863	1386	4706	51127	1176	4726	55223	51564	960	4700	25915	4711	51659	4695	4001	79097	54539	81603	4714	4707	4710	10437	4708	7706	4704	55128	4724	4729	51720	4719	4712	142	4728	23321	4696	4702	4722	9830	2305	4720	10612	4698	374291	4502	1164	51295	7726	4705	4713	9577	26523	4701	4694	55471	9928	3309	4171	1281	29086	5033	23038	6881	9319	10038	8974	7913	51082	81578	201254	7373	1282	1300	3305	1306	9014	79101	1296	1291	1298	7298	3308	1305	1292	80067	1297	3313	9015	5352	1278	1286	54457	1284	3303	1295	5429	1287	1288	79709	1293	23127	9025	1277	1299	1307	8985	22948																																																																																																																																																																																																																											
3659	51154	3661	103	3920	427	1512	3916	3437	3043	4318	3434	968	3430	23385	3665	684	4599	9221	23200	5547	3433	4126	978	11010	2495	2537	51125	5284	2683	55	3725	79888	91543	967	4600	23317	23076	3664	84061	9636	1958	8904	6773	4680	51447	6041	1476	10410	23307	51646	4048	10581	3662	3669	8876	8519	9218	9342	54739	230	3663	7130	3660	5663	5646	5236	25939	1520																																																																																																																																																																																																																																																																																																																																																																																																																			
7170	3838	79659	57728	58	7125	80173	28981	8638	4606	57576	56912	8100	5063	51098	55112	8914	64792	9742	83658	26146	4939	90410	7884	1756	79809	3105	51626	55081	4940	23059	10379	11020	4938	3860	55764	9119	92104	10926	3853	79989	3861	51668	3858	3887	7171	3856	3875	3854	3866	25984	3880	3859	93973	3855	1605	3848	3850	3849	3890	3857	3872	7402	3851	3882	3852	3868	23067	54474	5058	3889	3883	3918	83444	3133	8874	7867	3672	57144	3914	3911	10298	3456	79913	5829	27076	5747	22854	10445	7007	251	7512	10319	1043	249	23627	284217	2822	53942	3688	1048	2215	116372	1087	7070	3908	80328	8000	3910	4061	3276	8434	4062	3909	420	55723	248	2813	8875	50863	10942	2623	64421	4703	6598	4798	6605	55183	2189	4604	3146	7508	6602	5886	29767	80198	7111	60	7138	9759	6599	7135	2178	54891	6601	865	57599	7136	8289	23309	29766	86	7134	861	2175	8557	5901	5591	7137	2634	3364	5879	5600	5884	4635	7270	375790	4626	79801	10672	6612	513	2768	10476	9815	55120	3106	4607	2176	4632	4173	29935	1432	4634	7398	4624	192669	995	7139	9824	2811	2971	10919	7273	4297	23135	4633	54962	2237	11200	192670	23649	10592	5913	515	10051	3135	7520	5883	23112	9459	2547	11073	3107	5887	63967	5893	5810	3134	29844	7431	1674	1134	7168	7169	7343	9739	8317	2099	7140	2908																																																																																																																																																																																																																																																	
